Hugo_Symbol	All	TNBC	ER+	ER-	LumA	LumB	Basal	Her2
PPP3CA	0.0064794816414686825	0.008	0.005649717514124294	0.009708737864077669	0.009569377990430622	0.0	0.0	0.018867924528301886
PPP3CB	0.0064794816414686825	0.005333333333333333	0.005649717514124294	0.009708737864077669	0.0	0.017857142857142856	0.012345679012345678	0.0
PPP4C	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.004784688995215311	0.0	0.0	0.0
PPP4R2	0.0064794816414686825	0.0026666666666666666	0.002824858757062147	0.019417475728155338	0.0	0.0	0.037037037037037035	0.0
PPP4R4	0.004319654427645789	0.005333333333333333	0.005649717514124294	0.0	0.0	0.017857142857142856	0.0	0.0
PPRC1	0.0064794816414686825	0.0026666666666666666	0.002824858757062147	0.019417475728155338	0.0	0.008928571428571428	0.024691358024691357	0.0
PPT2	0.0021598272138228943	0.0	0.0	0.009708737864077669	0.004784688995215311	0.0	0.0	0.0
PPWD1	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.0	0.008928571428571428	0.0	0.0
PPY2	0.0021598272138228943	0.0	0.0	0.009708737864077669	0.0	0.0	0.012345679012345678	0.0
PPYR1	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.004784688995215311	0.0	0.0	0.0
PQBP1	0.004319654427645789	0.005333333333333333	0.005649717514124294	0.0	0.004784688995215311	0.008928571428571428	0.0	0.0
PQLC2	0.0064794816414686825	0.008	0.00847457627118644	0.0	0.014354066985645933	0.0	0.0	0.0
PRAME	0.01079913606911447	0.010666666666666666	0.00847457627118644	0.019417475728155338	0.0	0.017857142857142856	0.012345679012345678	0.03773584905660377
PRAMEF10	0.0021598272138228943	0.0	0.0	0.009708737864077669	0.0	0.0	0.012345679012345678	0.0
PRAMEF11	0.004319654427645789	0.005333333333333333	0.002824858757062147	0.009708737864077669	0.0	0.008928571428571428	0.0	0.018867924528301886
PRAMEF13	0.0021598272138228943	0.0	0.0	0.009708737864077669	0.0	0.0	0.0	0.0
PRAMEF17	0.0021598272138228943	0.0026666666666666666	0.0	0.009708737864077669	0.0	0.0	0.0	0.018867924528301886
PRAMEF2	0.004319654427645789	0.005333333333333333	0.005649717514124294	0.0	0.0	0.008928571428571428	0.0	0.018867924528301886
PRAMEF4	0.0064794816414686825	0.008	0.00847457627118644	0.0	0.009569377990430622	0.008928571428571428	0.0	0.0
PRAMEF7	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.004784688995215311	0.0	0.0	0.0
PRB1	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.004784688995215311	0.0	0.0	0.0
PRB2	0.0064794816414686825	0.005333333333333333	0.005649717514124294	0.0	0.004784688995215311	0.0	0.012345679012345678	0.018867924528301886
PRB3	0.004319654427645789	0.005333333333333333	0.005649717514124294	0.0	0.004784688995215311	0.0	0.012345679012345678	0.0
PRB4	0.0021598272138228943	0.0	0.0	0.009708737864077669	0.0	0.0	0.012345679012345678	0.0
PRCP	0.004319654427645789	0.005333333333333333	0.005649717514124294	0.0	0.009569377990430622	0.0	0.0	0.0
PRDM1	0.004319654427645789	0.0026666666666666666	0.002824858757062147	0.0	0.0	0.008928571428571428	0.0	0.018867924528301886
PRDM10	0.0064794816414686825	0.005333333333333333	0.005649717514124294	0.009708737864077669	0.0	0.008928571428571428	0.0	0.03773584905660377
PRDM12	0.0021598272138228943	0.0	0.0	0.009708737864077669	0.004784688995215311	0.0	0.0	0.0
PRDM14	0.0021598272138228943	0.0	0.0	0.009708737864077669	0.0	0.0	0.012345679012345678	0.0
PRDM15	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.004784688995215311	0.0	0.0	0.0
PRDM16	0.004319654427645789	0.005333333333333333	0.005649717514124294	0.0	0.009569377990430622	0.0	0.0	0.0
PRDM2	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.004784688995215311	0.0	0.0	0.0
PRDM4	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.0	0.008928571428571428	0.0	0.0
PRDM7	0.0021598272138228943	0.0	0.0	0.009708737864077669	0.0	0.0	0.012345679012345678	0.0
PRDM8	0.0064794816414686825	0.005333333333333333	0.002824858757062147	0.019417475728155338	0.0	0.0	0.024691358024691357	0.018867924528301886
PRDX1	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.0	0.008928571428571428	0.0	0.0
PRDX5	0.0021598272138228943	0.0	0.0	0.009708737864077669	0.0	0.0	0.012345679012345678	0.0
PRELP	0.0021598272138228943	0.0	0.0	0.009708737864077669	0.0	0.0	0.012345679012345678	0.0
PREP	0.004319654427645789	0.005333333333333333	0.002824858757062147	0.009708737864077669	0.0	0.008928571428571428	0.0	0.018867924528301886
PREPL	0.0064794816414686825	0.008	0.00847457627118644	0.0	0.004784688995215311	0.008928571428571428	0.0	0.0
PREX1	0.017278617710583154	0.010666666666666666	0.00847457627118644	0.04854368932038835	0.009569377990430622	0.008928571428571428	0.04938271604938271	0.018867924528301886
PREX2	0.02159827213822894	0.018666666666666668	0.01694915254237288	0.038834951456310676	0.004784688995215311	0.017857142857142856	0.04938271604938271	0.05660377358490566
PRF1	0.004319654427645789	0.005333333333333333	0.005649717514124294	0.0	0.004784688995215311	0.008928571428571428	0.0	0.0
PRG2	0.0021598272138228943	0.0026666666666666666	0.0	0.009708737864077669	0.0	0.0	0.0	0.018867924528301886
PRG4	0.0021598272138228943	0.0026666666666666666	0.002824858757062147	0.0	0.0	0.008928571428571428	0.0	0.0
PRIC285	0.004319654427645789	0.005333333333333333	0.005649717514124294	0.0	0.009569377990430622	0.0	0.0	0.0
PRICKLE1	0.004319654427645789	0.0026666666666666666	0.002824858757062147	0.009708737864077669	0.0	0.008928571428571428	0.012345679012345678	0.0
